klasa;typ;numer;opis;
00000;b;33;ograniczenie prędkości do 20;
00001;b;33;ograniczenie prędkości do 30;
00002;b;33;ograniczenie prędkości do 50;
00003;b;33;ograniczenie prędkości do 60;
00004;b;33;ograniczenie prędkości do 70;
00005;b;33;ograniczenie prędkości do 80;
00006;b;34;koniec ograniczenia prędkości;
00007;b;33;ograniczenie prędkości do 100;
00008;b;33;ograniczenie prędkości do 120;
00009;b;25;zakaz wyprzedzania;
00010;b;26;zakaz wyprzedzania przez ciężarówki;
00011;a;6a;skrzyzowanie z drogą podporządkowaną;
00012;d;1;droga z pierszenstwem;
00013;a;7;ustąp pierszeństwa;
00014;b;20;stop;
00015;b;1;zakaz ruchu;
00016;b;5;zakaz ruchu ciężarówek;
00017;b;2;zakaz wjazdu;
00018;a;30;inne niebezpieczeństwo;
00019;a;1;zakręt w lewo;
00020;a;2;zakręt w prawo;
00021;a;4;zakręt w lewo a po nim seria zakrętów;
00022;a;11;nierówność;
00023;a;15;śliska jezdnia;
00024;a;12b;zwężenie z prawej;
00025;a;14;roboty drogowe;
00026;a;29;sygnalizacja;
00027;a;16;przejście dla pieszych;
00028;a;17;dzieci;
00029;a;24;rowerzyści;
00030;a;32;szron;
00031;a;18b;dzikie zwierzęta;
00032;b;42;koniec zakazów;
00033;c;2;nakaz jazdy za znakiem w prawo;
00034;c;4;nakaz jazdy za znakiem w lewo;
00035;c;5;nakaz jazdy prosto;
00036;c;6;nakaz jazdy prosto lub w prawo;
00037;c;7;nakaz jazdy prosto lub w lewo;
00038;c;9;nakaz jazdy z prawej strony znaku;
00039;c;10;nakaz jazdy z lewej strony znaku;
00040;c;12;rondo;
00041;b;27;koniec zakazu wyprzedzania;
00042;b;28;koniec zakazu wyprzedzania ciężarówek;
